loan_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
14668,24,28000,OWN,6,HOMEIMPROVEMENT,B,10000,10.37,0.36,N,2
24614,27,64000,RENT,0,PERSONAL,C,10000,15.27,0.16,Y,10
11096,26,72000,MORTGAGE,10,EDUCATION,D,16000,,0.22,N,3
10424,23,27996,RENT,7,DEBTCONSOLIDATION,A,10000,,0.36,N,2
26007,30,44500,RENT,2,MEDICAL,E,13000,16.32,0.29,N,6
9614,25,63000,MORTGAGE,2,HOMEIMPROVEMENT,B,20000,9.99,0.32,N,2
6204,26,27031,RENT,2,VENTURE,B,6000,9.99,0.22,N,4
19286,30,40000,RENT,8,VENTURE,A,2500,5.79,0.06,N,10
10297,26,90000,RENT,2,DEBTCONSOLIDATION,C,9600,13.85,0.11,Y,4
20560,35,41235,OWN,7,MEDICAL,A,3000,7.14,0.07,N,9
4344,21,26400,RENT,5,PERSONAL,C,4750,12.23,0.18,N,3
8622,26,59500,MORTGAGE,9,VENTURE,A,12000,6.62,0.2,N,3
31745,39,134000,MORTGAGE,,VENTURE,B,25000,10.25,0.19,N,17
9128,22,60000,MORTGAGE,6,VENTURE,D,24250,15.31,0.4,Y,2
5332,23,32000,RENT,0,MEDICAL,C,8500,13.16,0.27,N,4
5731,25,30000,RENT,1,EDUCATION,C,5300,15.27,0.18,N,3
15742,24,148000,MORTGAGE,8,DEBTCONSOLIDATION,D,25000,15.31,0.17,Y,2
26368,35,138000,RENT,2,PERSONAL,A,14000,7.9,0.1,N,8
216,26,190000,MORTGAGE,3,VENTURE,B,20000,12.18,0.11,N,4
15766,23,167300,MORTGAGE,1,EDUCATION,B,20000,12.21,0.12,N,2
